Title,DOI,Abstract
Potential-Driven Restructuring of Cu Single Atoms to Nanoparticles for Boosting the Electrochemical Reduction of Nitrate to Ammonia,http://dx.doi.org/10.1021/jacs.2c02262,"Restructuring is ubiquitous in thermocatalysis and of pivotal importance to identify the real active site, yet it is less explored in electrocatalysis. Herein, by using operando X-ray absorption spectroscopy in conjunction with advanced electron microscopy, we reveal the restructuring of the as-synthesized Cu–N4 single-atom site to the nanoparticles of ∼5 nm during the electrochemical reduction of nitrate to ammonia, a green ammonia production route upon combined with the plasma-assisted oxidation of nitrogen. The reduction of Cu2+ to Cu+ and Cu0 and the subsequent aggregation of Cu0 single atoms is found to occur concurrently with the enhancement of the NH3 production rate, both of them are driven by the applied potential switching from 0.00 to −1.00 V versus RHE. The maximum production rate of ammonia reaches 4.5 mg cm–2 h–1 (12.5 molNH3 gCu–1 h–1) with a Faradaic efficiency of 84.7% at −1.00 V versus RHE, outperforming most of the other Cu catalysts reported previously. After electrolysis, the aggregated Cu nanoparticles are reversibly disintegrated into single atoms and then restored to the Cu–N4 structure upon being exposed to an ambient atmosphere, which masks the potential-induced restructuring during the reaction. The synchronous changes of the Cu0 percentage and the ammonia Faradaic efficiency with the applied potential suggests that the Cu nanoparticles are the genuine active sites for nitrate reduction to ammonia, which is corroborated with both the post-deposited Cu NP catalyst and density functional theory calculations."
Sodium-Ion Battery Materials and Electrochemical Properties Reviewed,http://dx.doi.org/10.1002/aenm.201800079,"The demand for electrochemical energy storage technologies is rapidly increasing due to the proliferation of renewable energy sources and the emerging markets of grid-scale battery applications. The properties of batteries are ideal for most electrical energy storage (EES) needs, yet, faced with resource constraints, the ability of current lithium-ion batteries (LIBs) to match this overwhelming demand is uncertain. Sodium-ion batteries (SIBs) are a novel class of batteries with similar performance characteristics to LIBs. Since they are composed of earth-abundant elements, cheaper and utility scale battery modules can be assembled. As a result of the learning curve in the LIB technology, a phenomenal progression in material development has been realized in the SIB technology. In this review, innovative strategies used in SIB material development, and the electrochemical properties of anode, cathode, and electrolyte combinations are elucidated. Attractive performance characteristics are herein evidenced, based on comparative gravimetric and volumetric energy densities to state-of-the-art LIBs. In addition, opportunities and challenges toward commercialization are herein discussed based on patent data trend analysis. With extensive industrial adaptations expected, the commercial prospects of SIBs look promising and this once discarded technology is set to play a major role in EES applications."
Recent Progress in Rechargeable Sodium-Ion Batteries: toward High-Power Applications,http://dx.doi.org/10.1002/smll.201805427,"The increasing demands for renewable energy to substitute traditional fossil fuels and related large-scale energy storage systems (EES) drive developments in battery technology and applications today. The lithium-ion battery (LIB), the trendsetter of rechargeable batteries, has dominated the market for portable electronics and electric vehicles and is seeking a participant opportunity in the grid-scale battery market. However, there has been a growing concern regarding the cost and resource availability of lithium. The sodium-ion battery (SIB) is regarded as an ideal battery choice for grid-scale EES owing to its similar electrochemistry to the LIB and the crust abundance of Na resources. Because of the participation in frequency regulation, high pulse-power capability is essential for the implanted SIBs in EES. Herein, a comprehensive overview of the recent advances in the exploration of high-power cathode and anode materials for SIB is presented, and deep understanding of the inherent host structure, sodium storage mechanism, Na+ diffusion kinetics, together with promising strategies to promote the rate performance is provided. This work may shed light on the classification and screening of alternative high rate electrode materials and provide guidance for the design and application of high power SIBs in the future."
Rechargeable Zinc Alkaline Anodes for Long-Cycle Energy Storage,http://dx.doi.org/10.1021/acs.chemmater.7b00754,"Zinc alkaline anodes command significant share of consumer battery markets and are a key technology for the emerging grid-scale battery market. Improved understanding of this electrode is required for long-cycle deployments at kWh and MWh scale due to strict requirements on performance, cost, and safety. Here we give a modern literature survey of zinc alkaline anodes with levelized performance metrics and also present an experimental assessment of leading formulations. Long-cycle materials characterization, performance metrics, and failure analysis are reported for over 25 unique anode formulations with up to 1500 cycles and ∼1.5 years of shelf life per test. Statistical repeatability of these measurements is made for a baseline design (fewest additives) via 15 duplicates. Baseline design capacity density is 38 mAh per mL of anode volume, and lifetime throughput is 72 Ah per mL of anode volume. We then report identical measurements for anodes with improved material properties via additives and other perturbations, some of which achieve capacity density over 192 mAh per mL of anode volume and lifetime throughput of 190 Ah per mL of anode volume. Novel in operando X-ray microscopy of a cycling zinc paste anode reveals the formation of a nanoscale zinc material that cycles electrochemically and replaces the original anode structure over long-cycle life. Ex situ elemental mapping and other materials characterization suggest that the key physical processes are hydrogen evolution reaction (HER), growth of zinc oxide nanoscale material, concentration deficits of OH– and ZnOH42–, and electrodeposition of Zn growths outside and through separator membranes."
Stochastic coordinated operation of wind and battery energy storage system considering battery degradation,http://dx.doi.org/10.1007/s40565-016-0238-z,"Grid-scale battery energy storage systems (BESSs) are promising to solve multiple problems for future power systems. Due to the limited lifespan and high cost of BESS, there is a cost-benefit trade-off between battery effort and operational performance. Thus, we develop a battery degradation model to accurately represent the battery degradation and related cost during battery operation and cycling. A linearization method is proposed to transform the developed battery degradation model into the mixed integer linear programming (MILP) optimization problems. The battery degradation model is incorporated with a hybrid deterministic/stochastic look-ahead rolling optimization model of wind-BESS bidding and operation in the real-time electricity market. Simulation results show that the developed battery degradation model is able to effectively help to extend the battery cycle life and make more profits for wind-BESS. Moreover, the proposed rolling look-ahead operational optimization strategy can utilize the updated wind power forecast, thereby also increase the wind-BESS profit."
Polyanion-type electrode materials for advanced sodium-ion batteries,http://dx.doi.org/10.1016/j.mtnano.2020.100072,"Electrical energy storage (EES) exploiting secondary battery technologies is ideal for large-scale energy storage needs due to the rapid growth in proliferation of renewable energy sources and the emerging markets of grid-scale battery applications. Sodium-ion batteries (SIBs), a more sustainable EES option alternative to lithium-ion batteries (LIBs), have attracted intensive interests over the past decade, because of the natural abundance, evenly geographical-distributed Na-source, significantly low cost, and environmental benignity. Polyanionic compounds offer an appealing combination of rich structural diversity, superior ionic conductivity, high structural and thermal stability, and convenient storage/handling, making them competitive and attractive candidate electrode materials for next generation energy storage systems. In this review, recent advancements made regarding polyanion-type electrodes used for SIBs are summarized, elaborating their intrinsic structural characteristics, electrochemical properties, and corresponding sodium-storage mechanisms. Furthermore, we highlight the recent achievements in the lab-scale Na-ion full-cell prototypes that consist of polyanion-type compounds as one or both working electrodes. Last but not least, challenges and outlooks on further optimization of the structure and the electrochemical performance of polyanion-type electrode materials for SIBs are also presented to provide some insights to facilitate the practical realization of sodium-ion technologies."
Assessing new transmission and energy storage in achieving increasing renewable generation targets in a regional grid,http://dx.doi.org/10.1016/j.apenergy.2019.05.066,"This study evaluates generation, transmission, and storage capacity needs to achieve deep renewable energy penetration in a regional electricity grid with an average load of approximately 20 GW. Increasing renewable energy targets are analyzed to evaluate the effects of realistic regional transmission upgrade and energy storage cost assumptions on the cost-optimal mix of generation, transmission, and storage capacity. Contextual data is used for New York State’s grid to examine how electricity generation from renewable energy resources (wind, water, and solar power) can meet between 50% and 80% of electricity demand. A central finding of the study is that when realistic transmission upgrade costs are assumed, new interzonal transmission and battery storage are not needed to cost effectively meet near-term renewable energy goals. In fact, New York can achieve 50% renewable energy penetration with only a buildout of new generation capacity: Onshore wind (13.7 GW), offshore wind (4.1 GW), and solar photovoltaics (3 GW). The presence of grid-scale battery storage, electric vehicles, or additional behind-the-meter solar capacity does not markedly change the model-selected generation mix. To achieve the 50% target, we compute a $52/MWh levelized cost of electricity for new renewable energy, which is in line with current generation costs."
Fiber Optic Sensing Technologies for Battery Management Systems and Energy Storage Applications,http://dx.doi.org/10.3390/s21041397,"Applications of fiber optic sensors to battery monitoring have been increasing due to the growing need of enhanced battery management systems with accurate state estimations. The goal of this review is to discuss the advancements enabling the practical implementation of battery internal parameter measurements including local temperature, strain, pressure, and refractive index for general operation, as well as the external measurements such as temperature gradients and vent gas sensing for thermal runaway imminent detection. A reasonable matching is discussed between fiber optic sensors of different range capabilities with battery systems of three levels of scales, namely electric vehicle and heavy-duty electric truck battery packs, and grid-scale battery systems. The advantages of fiber optic sensors over electrical sensors are discussed, while electrochemical stability issues of fiber-implanted batteries are critically assessed. This review also includes the estimated sensing system costs for typical fiber optic sensors and identifies the high interrogation cost as one of the limitations in their practical deployment into batteries. Finally, future perspectives are considered in the implementation of fiber optics into high-value battery applications such as grid-scale energy storage fault detection and prediction systems."
Challenges and Mitigation Measures in Power Systems with High Share of Renewables-The Australian Experience,http://dx.doi.org/10.3390/en15020429,"Australia is one of the leading countries in energy transition, and its largest power system is intended to securely operate with up to 75% of variable renewable generation by 2025. High-inertia synchronous condensers, battery energy storage systems, and grid-forming converters are some of the technologies supporting this transformation while facilitating the secure operation of the grid. Synchronous condensers have enabled 2500 MW of solar and wind generation in the state of South Australia, reaching minimum operational demands of ≈100 MW. Grid-scale battery energy storage systems have demonstrated not only market benefits by cutting costs to consumers but also essential grid services during contingencies. Fast frequency response, synthetic inertia, and high fault currents are some of the grid-supporting capabilities provided by new developments that strengthen the grid while facilitating the integration of new renewable energy hubs. This manuscript provides a comprehensive overview, based on the Australian experience, of how power systems are overcoming expected challenges while continuing to integrate secure, low cost, and clean energy."
State-of-Charge Balancing Control for ON/OFF-Line Internal Cells Using Hybrid Modular Multi-Level Converter and Parallel Modular Dual L-Bridge in a Grid-Scale Battery Energy Storage System,http://dx.doi.org/10.1109/ACCESS.2018.2885083,"Cell state-of-charge (SoC) balancing within a battery energy-storage system (BESS) is the key to optimizing capacity utilization of a BESS. Many cell SoC balancing strategies have been proposed; however, control complexity and slow SoC convergence remain as key issues. This paper presents two strategies to achieve SoC balancing among cells: main balancing strategy (MBS) using a cascaded hybrid modular multi-level converter (CHMMC) and a supplementary balancing strategy (SBS) using a cascaded parallel modular dual L-bridge (CPMDLB). The control and monitoring of individual cells with a reduction in the component count and the losses of BESS are achieved by integrating each individual cell into an L-bridge instead of an H-bridge. The simulation results demonstrate a satisfactory performance of the proposed SoC balancing strategy. In this result, SoC balancing convergence point for the cells/modules is achieved at 1000 min when cell-prioritized MBS-CHMMC works without SBS-CPMDLB and at 216.7 min when CPMBS-CHMMC works together with SBS-CPMDLB and when the duration required reduces by 78.33 %. Similarly, a substantial improvement in SoC balancing convergence point for the cells/modules is achieved when module-prioritized MBS-CHMMC works together with SBS-CPMDLB; the duration needed to reach the SoC balancing convergence point for the cells/modules is achieved after 333.3 and 183.3 min."
Investigating the role of nuclear power and battery storage in Hungary's energy transition using hourly resolution electricity market simulations,http://dx.doi.org/10.1016/j.heliyon.2024.e29841,"Electricity supply in European countries faces a number of challenges, such as achieving carbon neutrality, tackling rising prices, reducing dependence on fossil fuels, including fossil fuel imports. To achieve these goals, the electricity systems of all European countries will have to undergo major changes, while taking into account technical, environmental, economic and social objectives. Our simulations provide essential data for this transition by analyzing different power plant portfolios and electricity consumption scenarios. The analyses focus on the cooperation of nuclear power and weather-dependent renewables, and on the possible role that battery-based electricity storage can play in the Hungarian electricity system.In this paper, we present the experience gained in setting up an electricity market model and the results of running the model on the electricity systems of Hungary and its six neighboring countries (Slovakia, Romania, Serbia, Croatia, Slovenia and Austria), taking into account the constraints of the cross-border capacities. The results of the sensitivity analysis for the 2030 power plant portfolios, battery capacities and renewables analyzed in this paper cover Hungary's import/export position, the energy source structure of its electricity generation, battery operation, CO2 emissions from electricity generation, expected prices in the system and the utilization parameters of nuclear power plants."
Using electrolytic hydrogen production and energy storage for balancing a low carbon electricity grid: Scenario assessments for India,http://dx.doi.org/10.1016/j.egycc.2024.100131,"Nuclear reactors and variable renewables will play a significant role in the global energy transition as providers of low carbon electricity to various end use sectors. Real time balancing of power demand and supply without modulation or curtailment is possible using electrolytic hydrogen plants and energy storage systems. The generation mix adopted and load profiles are unique to a country and this study considers the specific case of India. This work analyses the use of grid connected water electrolysers, grid scale battery storage, hydrogen storage and fuel cells as flexible loads and dispatch schemes for grid balancing. Based on postulated long term power generation scenarios for India, the minimum required system sizes for grid balancing are estimated and techno-economic uncertainties are assessed. The use of water electrolysers is prioritized to make use of excess power, while minimizing battery storage requirement. This scheme can potentially produce a substantial share of low carbon hydrogen in India for use in industrial decarbonization, thus reducing the need for additional generation infrastructure."
"Impacts of grid-scale battery systems on power system operation, case of Baltic region",http://dx.doi.org/10.1049/stg2.12142,"Grid stability can be affected by the large-scale utilisation of renewable energy sources because there are fluctuations in generation and load. These issues can be effectively addressed by grid-scale battery energy storage systems (BESS), which can respond quickly and provide high energy density. Different roles of grid-scale BESS in power systems are addressed, following optimal operation approaches classification. Furthermore, integrating BESSs into distribution grids is discussed to manage challenges from distributed generation. BESSs aid in voltage control, enhance frequency regulation, and offer black-start services. Aggregating distributed BESSs can provide ancillary services and improve grid economics. For consumers, BESSs optimise energy costs, enhance reliability, and support self-consumption from renewables. Novel BESS services include congestion relief, system adequacy, and power quality enhancement. Moreover, the ancillary services provided in different European countries through BESS are analysed. Finally, a case study was conducted among three Baltic DSOs to analyse the required amendments to Grid Codes and Electricity Market Acts for the integration of grid scale BESS."
Performance Evaluation Of Grid-scale Battery Energy Storage System Employing Virtual Synchronous Generator Control For Grid Code Compliance In Weak Grids,http://dx.doi.org/10.1109/SAUPEC60914.2024.10445060,"This document is on the design and testing of a grid-scale Battery Energy Storage System (BESS) employing Virtual Synchronous Generator (VSG) control grid-forming scheme. The BESS is rated 60 MWh/50 MW. The simulations were conducted using MATLAB/Simulink/Simscape software. The protection functions and the associated protection relays needed to achieve these functionalities are presented. The approach adopted can apply to any relevant standard or grid code associated with a Transmission System Operator (TSO) internationally, however, the local grid codes in the context of South Africa were used. The system is designed to be compliant with the document Grid Connection Code for Battery Energy Storage Facilities (BESF) connected to the Electricity Transmission System (TS) or the Distribution System (DS) in South Africa and is classified under Category C as defined in the same document. The system was able to adjust both its active and reactive power outputs accordingly in response to load reduction conditions in the network. Furthermore, for local fault conditions, it was able to ride-through transient faults and trip and disconnect for permanent faults. For these two cases the BESS protection functionality serves as primary protection. The system was also able to trip and disconnect for remote permanent faults where the associated protection functionality is utilised as back-up protection."
Early prediction of battery degradation in grid-scale battery energy storage system using extreme gradient boosting algorithm,http://dx.doi.org/10.1016/j.rineng.2023.101709,"The growth of battery energy storage systems (BESS) is caused by the variability and intermittent nature of high demand and renewable power generation at the network scale. In the context of BESS, Lithium-ion (Li-ion) battery occupies a crucial position, although it is faced with challenges related to performance battery degradation over time due to electrochemical processes. This battery degradation is a crucial factor to account for, based on its potential to diminish the efficiency and safety of electrical system equipment, thereby contributing to increased system planning costs. This implies that the health of battery needs to be diagnosed, particularly by determining remaining useful life (RUL), to avoid unexpected operational costs and ensure system safety. Therefore, this study aimed to use machine learning models, specifically extreme gradient boosting (XGBoost) algorithm, to estimate RUL, with a focus on the temperature variable, an aspect that had been previously underemphasized. Utilizing XGBoost model, along with fine-tuning its hyperparameters, proved to be a more accurate and efficient method for predicting RUL. The evaluation of the model yielded promising outcomes, with a root mean square error (RMSE) of 90.1 and a mean absolute percentage error (MAPE) of 7.5 %. Additionally, the results showed that the model could improve RUL predictions for batteries within BESS. This study significantly contributed to optimizing planning and operations for BESS, as well as developing more efficient and effective maintenance strategies."
Optimal day-ahead large-scale battery dispatch model for multi-regulation participation considering full timescale uncertainties,http://dx.doi.org/10.1016/j.rser.2023.113963,"Grid scale battery integration plays an important role in renewable energy integration and the formation of smart grid. To mitigate the problems of insufficient frequency response and peak regulation capacities faced by modern power grids with high wind energy uptake, a day-ahead optimization dispatch strategy considering operational risks is proposed in this study. In the day-ahead dispatch model, generation units and a large-scale battery energy storage station (LS-BESS) are coordinated to participate in multi-type frequency control ancillary services (FCASs). For optimal performance, scheduling in different timescales and the complementarity between power and energy types of requirements are coordinated, with various service uncertainties considered. Then the conditional value-at-risk theory is utilized to achieve the optimal mix of multiple resources for day-ahead regulation reserves, to realize the minimum operation cost. To tackle the uncertainty of wind power over a large timescale, a robust optimization (RO) approach based on the budget uncertainty set is employed, which considers robustness and economy. This can help avoid over-conservation of the standard RO and enhance the applicability of the decisions made. Simulation studies and comparison analysis of multiple schemes verify the effectiveness of the proposed optimal day-ahead dispatch strategy, which also demonstrate that a LS-BESS participating in multiple FCASs for day-ahead dispatch can help realize secure, reliable, and economic power grid."
